"";"price";"type";"district";"municipality";"street";"c";"link";"condition";"usable_area";"built_up_area";"land_area";"commission_in_price";"rooms"
"31";40000;"Byt";"okres Spišská Nová Ves";"Rudňany";"okres Spišská Nová Ves";NA;"https://www.nehnutelnosti.sk/4985107/ciastocne-zariadeny-byt-2-1-v-rudnanoch/";"Čiastočná rekonštrukcia";"48";NA;NA;"no";"2"
"32";75000;"Byt";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985104/predaj-jednoizbovy-byt-nove-zamky-centrum/";"Čiastočná rekonštrukcia";"36";NA;NA;"no";"1"
"33";1e+05;"Byt";"okres Spišská Nová Ves";"Spišská Nová Ves";"okres Spišská Nová Ves";NA;"https://www.nehnutelnosti.sk/4985096/byt-2-1-na-sidlisku-zapad-i-spisska-nova-ves/";"Čiastočná rekonštrukcia";"50";NA;NA;"no";"2"
"34";103000;"Byt";"okres Levoča";"Levoča";"okres Levoča";NA;"https://www.nehnutelnosti.sk/4985097/byt-2-1-s-balkonom-rozvoj-levoca/";"Kompletná rekonštrukcia";"56";NA;NA;"no";"2"
"35";239900;"Byt";"okres Bratislava";"Bratislava II - Ružinov";"okres Bratislava";NA;"https://www.nehnutelnosti.sk/4985092/aster-predaj-velkorysy-3i-byt-74m2-kosicka-ul-bratislava-ruzinov/";"Čiastočná rekonštrukcia";"74,26";NA;NA;"yes";"3"
"36";219000;"Rodinný dom";"okres Žiar nad Hronom";"Janova Lehota";"okres Žiar nad Hronom";NA;"https://www.nehnutelnosti.sk/4985090/rodinny-dom-300m-s-pozemkom-8068m2-vhodny-na-agrofarmu-vyletny-penzion-rekreacne-sidlo-2km-od-mal/";"Pôvodný stav";"300";NA;"8068";"yes";NA
"37";239000;"Rodinný dom";"okres Malacky";"Plavecké Podhradie";"okres Malacky";NA;"https://www.nehnutelnosti.sk/4985084/irg-novinka-zrekonstruovany-rodinny-dom-v-obci-plavecke-podhradie/";"Kompletná rekonštrukcia";"285";"110";"795";"no";NA
"38";215000;"Rodinný dom";"okres Dunajská Streda";"Dunajská Streda";"okres Dunajská Streda";NA;"https://www.nehnutelnosti.sk/4985070/vyhodna-cenapekny-kompletne-zrekonstruovany-4-izbovy-rodinny-dom-na-predaj-v-obci-velke-dvornik/";"Kompletná rekonštrukcia";"146";"170";"800";"no";NA
"39";10;"Byt";"okres Žiar nad Hronom";"Žiar nad Hronom";"okres Žiar nad Hronom";NA;"https://www.nehnutelnosti.sk/4985057/ponukame-bytovy-dom-na-predaj/";"Čiastočná rekonštrukcia";"200";NA;NA;"no";"I"
"40";NA;"Rodinný dom";"okres Brezno";"Mýto pod Ďumbierom";"okres Brezno";NA;"https://www.nehnutelnosti.sk/4985062/rodinny-dom-s-kompletnou-rekonstrukciou-vhodny-aj-ako-rekreacna-nehnutelnost/";"Kompletná rekonštrukcia";"255";"106";NA;"no";NA
"41";239000;"Rodinný dom";"okres Malacky";"Plavecké Podhradie";"okres Malacky";NA;"https://www.nehnutelnosti.sk/4985045/velky-priestranny-rd-s-pozemkom-795-m2-v-tichej-slepej-ulicke-v-malokarpatskej-oblasti-priamo-pod-hr/";"Kompletná rekonštrukcia";"260";"95";"795";"no";NA
"42";890000;"Rodinný dom";"okres Bratislava";"Bratislava IV - Záhorská Bystrica";"okres Bratislava";NA;"https://www.nehnutelnosti.sk/4985041/novostavba-rodinneho-domu-v-rezidencnej-stvrti-pod-vrskami-na-pokojnej-ulici-s-peknym-vyhladom/";"Pôvodný stav";"143";"213";"607";"no";NA
"43";NA;"Byt";"okres Levice";"Želiezovce";"okres Levice";NA;"https://www.nehnutelnosti.sk/4985032/najlepsia-cenova-ponuka-za-3-izbovy-byt-s-balkonom-kusok-od-centra-zeliezovce-72-5-m2-cena-na-v/";"Čiastočná rekonštrukcia";"72,5";NA;NA;"no";"3"
"44";97900;"Rodinný dom";"okres Nové Zámky";"Pozba";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985031/na-predaj-zatepleny-3-izbovy-rodinny-dom-v-obci-pozba/";"Čiastočná rekonštrukcia";NA;"663";"2900";"no";NA
"45";79900;"Rodinný dom";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985030/na-predaj-priestranny-rodinny-dom-s-velkym-pozemkom-v-obci-velka-mana/";"Pôvodný stav";"120";"120";"1935";"no";NA
"46";58900;"Garsónka";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985028/na-predaj-pekna-garsonka-na-ulici-l-stura/";"Čiastočná rekonštrukcia";"20";NA;"20";"no";"1,5"
"47";239000;"Rodinný dom";"okres Nové Zámky";"Šurany";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985027/na-predaj-pekny-priestranny-rodinny-dom-v-suranoch/";"Pôvodný stav";NA;"160";"439";"no";NA
"48";58000;"Garsónka";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985026/znizena-cena-na-predaj-garsonka-po-kompletnej-rekonstrukcii/";"Kompletná rekonštrukcia";"19,43";NA;"19,43";"no";"1,5"
"49";245000;"Rodinný dom";"okres Nové Zámky";"Nové Zámky";"okres Nové Zámky";NA;"https://www.nehnutelnosti.sk/4985024/znizena-cena-na-predaj-pekny-a-utulny-rodinny-dom-typu-bungalov/";"Novostavba";"90";"90";"495";"no";NA
